Pos,Equipe,P,J,V,E,D,GP,GC,SG,%
1,Palmeiras,68,31,21,5,5,57,26,31,73.1
2,Flamengo,65,31,19,8,4,61,18,43,69.9
3,Cruzeiro,63,32,18,9,5,46,22,24,65.6
4,Mirassol,56,32,15,11,6,52,32,20,58.3
5,Bahia,53,33,15,8,10,44,40,4,53.5
6,Botafogo,51,32,14,9,9,44,28,16,53.1
7,Fluminense,50,32,15,5,12,38,37,1,52.1
8,São Paulo,45,33,12,9,12,37,36,1,45.5
9,Atlético-MG,43,32,11,10,11,34,34,0,44.8
10,Vasco,42,33,12,6,15,50,49,1,42.4
11,R B Bragantino,42,33,12,6,15,38,50,-12,42.4
12,Corinthians,42,32,11,9,12,35,37,-2,43.8
13,Ceará,39,32,10,9,13,30,30,0,40.6
14,Grêmio,39,32,10,9,13,33,41,-8,40.6
15,Internacional,37,33,9,10,14,37,46,-9,37.4
16,Vitória,34,32,8,10,14,29,47,-18,35.4
17,Santos,33,31,8,9,14,31,45,-14,35.5
18,Juventude,32,33,9,5,19,29,59,-30,32.3
19,Fortaleza,29,31,7,8,16,29,46,-17,31.2
20,Sport,17,32,2,11,19,24,55,-31,17.7
