Pos,Equipe,P,J,V,E,D,GP,GC,SG,%
1,Palmeiras,14,5,4,1,0,7,2,5,86.7
2,Flamengo,11,5,3,2,0,11,2,9,73.3
3,Bragantino,10,5,3,1,1,6,4,2,66.7
4,Fluminense,10,5,3,1,1,6,4,2,66.7
5,Ceará,7,5,2,1,2,7,6,1,46.7
6,Corinthians,7,5,2,1,2,6,6,0,46.7
7,Cruzeiro,7,5,2,1,2,6,6,0,46.7
8,Vasco da Gama,7,5,2,1,2,6,7,-1,46.7
9,Juventude,7,5,2,1,2,6,11,-5,46.7
10,São Paulo,7,5,1,4,0,5,4,1,46.7
11,Mirassol,6,5,1,3,1,9,7,2,40.0
12,Internacional,6,5,1,3,1,5,3,2,40.0
13,Bahia,6,5,1,3,1,5,7,-2,40.0
14,Fortaleza,5,5,1,2,2,5,5,0,33.3
15,Botafogo,5,5,1,2,2,4,4,0,33.3
16,Vitória,5,5,1,2,2,6,8,-2,33.3
17,Mineiro,5,5,1,2,2,4,6,-2,33.3
18,Santos,4,5,1,1,3,6,7,-1,26.7
19,Grêmio,4,5,1,1,3,4,10,-6,26.7
20,Recife,1,5,0,1,4,3,8,-5,6.7
