data,hora,rodada,time_casa,time_visitante,status,gols_casa,gols_visitante
03/12/2025,21:00,34,Atlético-MG,Palmeiras,TIMED,,
19/11/2025,00:00,34,R B Bragantino,Vitória,POSTPONED,,
20/11/2025,00:30,34,Fluminense,Flamengo,TIMED,,
20/11/2025,00:30,34,Santos,Mirassol,TIMED,,
20/11/2025,00:30,34,Grêmio,Vasco,TIMED,,
20/11/2025,19:00,34,Juventude,Cruzeiro,TIMED,,
20/11/2025,21:00,34,Bahia,Fortaleza,TIMED,,
20/11/2025,22:30,34,Corinthians,São Paulo,TIMED,,
21/11/2025,00:30,34,Ceará,Internacional,TIMED,,
22/11/2025,22:30,35,Botafogo,Grêmio,TIMED,,
23/11/2025,00:30,35,Flamengo,R B Bragantino,TIMED,,
23/11/2025,00:30,35,Palmeiras,Fluminense,TIMED,,
23/11/2025,19:00,35,São Paulo,Juventude,TIMED,,
23/11/2025,19:00,35,Bahia,Vasco,TIMED,,
23/11/2025,21:30,35,Sport,Vitória,TIMED,,
23/11/2025,23:30,35,Cruzeiro,Corinthians,TIMED,,
24/11/2025,22:00,35,Mirassol,Ceará,TIMED,,
25/11/2025,00:00,35,Internacional,Santos,TIMED,,
30/11/2025,21:30,35,Fortaleza,Atlético-MG,TIMED,,
26/11/2025,00:30,36,Atlético-MG,Flamengo,TIMED,,
26/11/2025,00:30,36,Grêmio,Palmeiras,TIMED,,
26/11/2025,22:00,36,R B Bragantino,Fortaleza,TIMED,,
27/11/2025,23:30,36,Fluminense,São Paulo,TIMED,,
28/11/2025,22:00,36,Juventude,Bahia,TIMED,,
28/11/2025,22:30,36,Vasco,Internacional,TIMED,,
29/11/2025,00:30,36,Santos,Sport,TIMED,,
29/11/2025,19:00,36,Vitória,Mirassol,TIMED,,
29/11/2025,23:30,36,Ceará,Cruzeiro,TIMED,,
30/11/2025,19:00,36,Corinthians,Botafogo,TIMED,,
03/12/2025,00:00,37,Vasco,Mirassol,SCHEDULED,,
03/12/2025,00:00,37,São Paulo,Internacional,SCHEDULED,,
03/12/2025,00:00,37,Cruzeiro,Botafogo,SCHEDULED,,
03/12/2025,00:00,37,Grêmio,Fluminense,SCHEDULED,,
03/12/2025,00:00,37,Bahia,Sport,SCHEDULED,,
03/12/2025,00:00,37,Fortaleza,Corinthians,SCHEDULED,,
03/12/2025,00:00,37,Juventude,Santos,SCHEDULED,,
03/12/2025,00:00,37,Flamengo,Ceará,SCHEDULED,,
19/11/2025,22:30,37,Palmeiras,Vitória,TIMED,,
07/12/2025,00:00,38,Fluminense,Bahia,SCHEDULED,,
07/12/2025,00:00,38,Botafogo,Fortaleza,SCHEDULED,,
07/12/2025,00:00,38,Santos,Cruzeiro,SCHEDULED,,
07/12/2025,00:00,38,Mirassol,Flamengo,SCHEDULED,,
07/12/2025,00:00,38,Atlético-MG,Vasco,SCHEDULED,,
07/12/2025,00:00,38,Internacional,R B Bragantino,SCHEDULED,,
07/12/2025,00:00,38,Vitória,São Paulo,SCHEDULED,,
07/12/2025,00:00,38,Sport,Grêmio,SCHEDULED,,
07/12/2025,18:00,38,Corinthians,Juventude,TIMED,,
07/12/2025,18:00,38,Ceará,Palmeiras,TIMED,,
